iter	Passed	Remaining
0	169	169546
1	182	90997
2	190	63232
3	196	48962
4	203	40489
5	209	34780
6	216	30720
7	222	27612
8	229	25257
9	235	23347
10	241	21754
11	247	20391
12	253	19227
13	259	18246
14	265	17416
15	271	16687
16	277	16064
17	284	15503
18	290	15009
19	297	14593
20	303	14169
21	310	13816
22	318	13509
23	324	13198
24	331	12929
25	337	12661
26	344	12429
27	351	12201
28	356	11931
29	362	11710
30	369	11541
31	376	11380
32	382	11212
33	391	11133
34	398	10997
35	406	10890
36	413	10764
37	419	10616
38	426	10497
39	433	10398
40	440	10303
41	448	10222
42	453	10089
43	458	9967
44	466	9892
45	473	9817
46	481	9757
47	488	9678
48	495	9607
49	501	9536
50	509	9487
51	517	9425
52	523	9357
53	529	9278
54	537	9228
55	544	9171
56	552	9143
57	560	9106
58	567	9055
59	575	9009
60	582	8968
61	589	8921
62	597	8888
63	604	8844
64	612	8806
65	619	8773
66	627	8737
67	634	8694
68	640	8647
69	648	8613
70	655	8576
71	662	8537
72	670	8511
73	677	8474
74	683	8433
75	691	8413
76	699	8384
77	705	8343
78	712	8308
79	717	8252
80	723	8213
81	730	8176
82	736	8140
83	743	8106
84	748	8058
85	755	8026
86	761	7996
87	768	7965
88	775	7938
89	782	7913
90	789	7883
91	795	7855
92	803	7831
93	809	7806
94	816	7780
95	823	7751
96	829	7723
97	836	7699
98	843	7675
99	849	7647
100	856	7624
101	863	7598
102	869	7575
103	875	7541
104	881	7515
105	888	7492
106	895	7470
107	901	7447
108	908	7423
109	914	7402
110	921	7382
111	928	7360
112	933	7330
113	939	7304
114	946	7285
115	953	7266
116	960	7247
117	966	7224
118	973	7206
119	978	7174
120	985	7158
121	992	7140
122	998	7121
123	1005	7102
124	1012	7084
125	1018	7065
126	1025	7050
127	1032	7033
128	1038	7013
129	1045	6999
130	1052	6981
131	1059	6964
132	1065	6948
133	1072	6930
134	1078	6912
135	1084	6887
136	1090	6870
137	1097	6854
138	1104	6838
139	1110	6821
140	1116	6803
141	1123	6788
142	1130	6773
143	1137	6761
144	1145	6753
145	1152	6738
146	1158	6723
147	1165	6712
148	1172	6699
149	1180	6687
150	1187	6676
151	1195	6668
152	1203	6660
153	1210	6649
154	1218	6640
155	1224	6624
156	1232	6617
157	1239	6606
